title,date,severity,summary,link,year
external-svg-loader Cross-site Scripting vulnerability,2023-08-14 21:32:27+00:00,Critical,"CVE-2023-40013was published
                        forexternal-svg-loader(npm)Aug 14, 2023",https://github.com/advisories/GHSA-xc2r-jf2x-gjr8,2023
Svelecte item names vulnerable to execution of arbitrary JavaScript,2023-08-14 21:14:08+00:00,Moderate,"CVE-2023-38687was published
                        forsvelecte(npm)Aug 14, 2023",https://github.com/advisories/GHSA-7h45-grc5-89wq,2023
`ed25519-dalek` Double Public Key Signing Function Oracle Attack,2023-08-14 21:10:29+00:00,Moderate,"GHSA-w5vr-6qhr-36ccwas published
                        fored25519-dalek(Rust)Aug 14, 2023",https://github.com/advisories/GHSA-w5vr-6qhr-36cc,2023
lakeFS vulnerable to Arbitrary JavaScript Injection via Direct Link to HTML Files,2023-08-14 21:10:17+00:00,Moderate,"GHSA-9phh-r37v-34whwas published
                        forgithub.com/treeverse/lakefs(Go)Aug 14, 2023",https://github.com/advisories/GHSA-9phh-r37v-34wh,2023
OpenNMS vulnerable to Cross-site Scripting,2023-08-14 18:32:59+00:00,Moderate,"CVE-2023-40311was published
                        fororg.opennms:opennms-webapp(Maven)Aug 14, 2023",https://github.com/advisories/GHSA-qfw7-pfxx-h9q2,2023
OpenNMS privilege elevation vulnerability,2023-08-14 18:32:59+00:00,High,"CVE-2023-0872was published
                        fororg.opennms:opennms-webapp-rest(Maven)Aug 14, 2023",https://github.com/advisories/GHSA-w5gq-xrrp-3fxf,2023
Cockpit Cross-site Scripting vulnerability,2023-08-14 12:30:22+00:00,High,"CVE-2023-4321was published
                        forcockpit-hq/cockpit(Composer)Aug 14, 2023",https://github.com/advisories/GHSA-3vf5-xm2p-6mh5,2023
zola Path Traversal vulnerability,2023-08-14 03:30:32+00:00,Moderate,"CVE-2023-40274was published
                        forzola(Rust)Aug 14, 2023",https://github.com/advisories/GHSA-xvv9-5j67-3rpq,2023
.NET Information Disclosure Vulnerability,2023-08-11 20:54:45+00:00,High,"CVE-2023-35391was published
                        forMicrosoft.AspNetCore.SignalR.Redis(NuGet)Aug 11, 2023",https://github.com/advisories/GHSA-j8rm-cm55-qqj6,2023
OpenZeppelin Contracts vulnerable to Improper Escaping of Output,2023-08-11 19:00:48+00:00,Moderate,"CVE-2023-40014was published
                        for@openzeppelin/contracts(npm)Aug 11, 2023",https://github.com/advisories/GHSA-g4vp-m682-qqmp,2023
Critters Cross-site Scripting Vulnerability,2023-08-11 18:57:53+00:00,High,"CVE-2023-3481was published
                        forcritters(npm)Aug 11, 2023",https://github.com/advisories/GHSA-cx3j-qqxj-9597,2023
OpenNMS Horizon XXE Injection Vulnerability,2023-08-11 18:31:49+00:00,High,"CVE-2023-0871was published
                        fororg.opennms.core:org.opennms.core.xml(Maven)Aug 11, 2023",https://github.com/advisories/GHSA-2qc8-r663-v864,2023
Daylight Studio FUEL-CMS SQLi Vulnerability,2023-08-11 15:30:46+00:00,Moderate,"CVE-2020-24950was published
                        forcodeigniter/framework(Composer)Aug 11, 2023",https://github.com/advisories/GHSA-7rvp-xqj7-rxf2,2023
xuxueli xxl-job Cross-Site Request Forgery Vulnerability,2023-08-11 15:30:46+00:00,Moderate,"CVE-2020-24922was published
                        forcom.xuxueli:xxl-job(Maven)Aug 11, 2023",https://github.com/advisories/GHSA-jp5r-4x9q-4vcf,2023
MrSwitch hello.js vulnerable to prototype pollution,2023-08-11 15:30:46+00:00,Moderate,"CVE-2021-26505was published
                        forhellojs(npm)Aug 11, 2023",https://github.com/advisories/GHSA-g3vf-47fv-8f3c,2023
SUCHMOKUO node-worker-threads-pool denial of service Vulnerability,2023-08-11 15:30:46+00:00,Moderate,"CVE-2021-29057was published
                        fornode-worker-threads-pool(npm)Aug 11, 2023",https://github.com/advisories/GHSA-7vxc-q7rv-qfj8,2023
ThinkCMF Cross-site Scripting Vulnerability,2023-08-11 15:30:46+00:00,Moderate,"CVE-2020-25915was published
                        forthinkcmf/thinkcmf(Composer)Aug 11, 2023",https://github.com/advisories/GHSA-4847-gqxx-v9xp,2023
Margox Braft-Editor Cross-site Scripting Vulnerability,2023-08-11 15:30:46+00:00,Moderate,"CVE-2021-27524was published
                        forbraft-editor(npm)Aug 11, 2023",https://github.com/advisories/GHSA-jfrf-vv54-j2jg,2023
FaucetSDN Ryu Denial of Service Vulnerability,2023-08-11 15:30:46+00:00,Moderate,"CVE-2020-35141was published
                        forryu(pip)Aug 11, 2023",https://github.com/advisories/GHSA-5x64-925v-h4gv,2023
Gila CMS Cross-site Scripting Vulnerability,2023-08-11 15:30:45+00:00,Moderate,"CVE-2020-20523was published
                        forgilacms/gila(Composer)Aug 11, 2023",https://github.com/advisories/GHSA-rvjp-j5j4-c9j5,2023
GitPython vulnerable to remote code execution due to insufficient sanitization of input arguments,2023-08-11 09:30:36+00:00,Moderate,"CVE-2023-40267was published
                        forGitPython(pip)Aug 11, 2023",https://github.com/advisories/GHSA-pr76-5cm5-w9cj,2023
apache-airflow-providers-apache-drill Improper Input Validation vulnerability,2023-08-11 09:30:36+00:00,Moderate,"CVE-2023-39553was published
                        forapache-airflow-providers-apache-drill(pip)Aug 11, 2023",https://github.com/advisories/GHSA-mq4v-6vg4-796c,2023
Mattermost fails to sanitize post metadata,2023-08-11 09:30:36+00:00,Moderate,"CVE-2023-4108was published
                        forgithub.com/mattermost/mattermost-server/v6(Go)Aug 11, 2023",https://github.com/advisories/GHSA-9rww-66w7-7vjx,2023
Mattermost fails to check if user is a guest before performing actions on public playbooks,2023-08-11 09:30:36+00:00,Moderate,"CVE-2023-4106was published
                        forgithub.com/mattermost/mattermost-server/v6(Go)Aug 11, 2023",https://github.com/advisories/GHSA-p267-jjfq-pphf,2023
Mattermost does not validate requesting user permissions before updating admin details,2023-08-11 09:30:36+00:00,Moderate,"CVE-2023-4107was published
                        forgithub.com/mattermost/mattermost-server/v6(Go)Aug 11, 2023",https://github.com/advisories/GHSA-6xjj-v76v-fwpj,2023
Mattermost fails to correctly delete attachments,2023-08-11 09:30:36+00:00,Low,"CVE-2023-4105was published
                        forgithub.com/mattermost/mattermost-server/v6(Go)Aug 11, 2023",https://github.com/advisories/GHSA-g3v6-r8p9-wxg9,2023
Froxlor vulnerable to business logic errors,2023-08-11 03:30:19+00:00,Low,"CVE-2023-4304was published
                        forfroxlor/froxlor(Composer)Aug 11, 2023",https://github.com/advisories/GHSA-9rmf-6qgj-g3wj,2023
1Panel arbitrary file write vulnerability,2023-08-10 20:09:47+00:00,High,"CVE-2023-39966was published
                        forgithub.com/1Panel-dev/1Panel(Go)Aug 10, 2023",https://github.com/advisories/GHSA-hf7j-xj3w-87g4,2023
1Panel Arbitrary File Download vulnerability,2023-08-10 20:09:24+00:00,Moderate,"CVE-2023-39965was published
                        forgithub.com/1Panel-dev/1Panel(Go)Aug 10, 2023",https://github.com/advisories/GHSA-85cf-gj29-f555,2023
1Panel O&M management panel has a background arbitrary file reading vulnerability,2023-08-10 20:09:07+00:00,High,"CVE-2023-39964was published
                        forgithub.com/1Panel-dev/1Panel(Go)Aug 10, 2023",https://github.com/advisories/GHSA-pv7q-v9mv-9mh5,2023
Moq v4.20.0 and 4.20.1 share hashed user data,2023-08-10 19:25:23+00:00,Low,"GHSA-6r78-m64m-qwcfwas published
                        formoq(NuGet)Aug 10, 2023",https://github.com/advisories/GHSA-6r78-m64m-qwcf,2023
Unsanitized user controlled input in module generation,2023-08-09 20:59:14+00:00,High,"GHSA-f8pq-3926-8gx5was published
                        for@opentelemetry/instrumentation(npm)Aug 9, 2023",https://github.com/advisories/GHSA-f8pq-3926-8gx5,2023
Sentry vulnerable to incorrect credential validation on OAuth token requests,2023-08-09 20:58:47+00:00,Moderate,"CVE-2023-39531was published
                        forsentry(pip)Aug 9, 2023",https://github.com/advisories/GHSA-hgj4-h2x3-rfx4,2023
Blst has logical error in SigValidate in Go bindings,2023-08-09 20:57:57+00:00,Moderate,"GHSA-8c37-7qx3-4c4pwas published
                        forgithub.com/supranational/blst(Go)Aug 9, 2023",https://github.com/advisories/GHSA-8c37-7qx3-4c4p,2023
SES's dynamic import and spread operator provides possible path to arbitrary exfiltration and execution,2023-08-09 14:43:20+00:00,Critical,"CVE-2023-39532was published
                        forses(npm)Aug 9, 2023",https://github.com/advisories/GHSA-9c4h-3f7h-322r,2023
ScanCode.io command injection in docker image fetch process,2023-08-09 14:41:23+00:00,Moderate,"CVE-2023-39523was published
                        forscancodeio(pip)Aug 9, 2023",https://github.com/advisories/GHSA-2ggp-cmvm-f62f,2023
PrestaShop file deletion via CustomerMessage,2023-08-09 14:39:21+00:00,Moderate,"CVE-2023-39530was published
                        forprestashop/prestashop(Composer)Aug 9, 2023",https://github.com/advisories/GHSA-v4gr-v679-42p7,2023
PrestaShop file deletion via attachment API,2023-08-09 14:38:46+00:00,Moderate,"CVE-2023-39529was published
                        forprestashop/prestashop(Composer)Aug 9, 2023",https://github.com/advisories/GHSA-2rf5-3fw8-qm47,2023
PrestaShop file access through path traversal,2023-08-09 14:38:18+00:00,Moderate,"CVE-2023-39528was published
                        forprestashop/prestashop(Composer)Aug 9, 2023",https://github.com/advisories/GHSA-hpf4-v7v2-95p2,2023
PrestaShop XSS injection through Validate::isCleanHTML method,2023-08-09 14:37:16+00:00,High,"CVE-2023-39527was published
                        forprestashop/prestashop(Composer)Aug 9, 2023",https://github.com/advisories/GHSA-xw2r-f8xv-c8xp,2023
PrestaShop SQL manager vulnerability,2023-08-09 14:36:16+00:00,Critical,"CVE-2023-39526was published
                        forprestashop/prestashop(Composer)Aug 9, 2023",https://github.com/advisories/GHSA-gf46-prm4-56pc,2023
PrestaShop path traversal,2023-08-09 14:35:36+00:00,Moderate,"CVE-2023-39525was published
                        forprestashop/prestashop(Composer)Aug 9, 2023",https://github.com/advisories/GHSA-m9r4-3fg7-pqm2,2023
PrestaShop boolean SQL injection,2023-08-09 14:34:42+00:00,Moderate,"CVE-2023-39524was published
                        forprestashop/prestashop(Composer)Aug 9, 2023",https://github.com/advisories/GHSA-75p5-jwx4-qw9h,2023
Vyper has incorrectly allocated named re-entrancy locks,2023-08-09 14:27:57+00:00,Moderate,"CVE-2023-39363was published
                        forvyper(pip)Aug 9, 2023",https://github.com/advisories/GHSA-5824-cm3x-3c38,2023
libp2p nodes vulnerable to attack using large RSA keys,2023-08-09 13:18:18+00:00,High,"CVE-2023-39533was published
                        forgithub.com/libp2p/go-libp2p(Go)Aug 9, 2023",https://github.com/advisories/GHSA-876p-8259-xjgg,2023
lol-html panics on certain HTML inputs,2023-08-09 13:17:53+00:00,High,"CVE-2023-4241was published
                        forlol-html(Rust)Aug 9, 2023",https://github.com/advisories/GHSA-c3x7-354f-4p2x,2023
.NET Remote Code Execution Vulnerability,2023-08-09 13:15:38+00:00,High,"CVE-2023-35390was published
                        forMicrosoft.NET.Build.Containers(NuGet)Aug 9, 2023",https://github.com/advisories/GHSA-p8rx-fwgq-rh2f,2023
.NET Denial of Service Vulnerability,2023-08-09 13:04:54+00:00,High,"CVE-2023-38178was published
                        forMicrosoft.AspNetCore.App.Runtime.win-arm(NuGet)Aug 9, 2023",https://github.com/advisories/GHSA-p57v-gv7q-4xfm,2023
Angular critical CSS inlining Cross-site Scripting Vulnerability Advisory,2023-08-09 12:51:51+00:00,High,"GHSA-r3hf-q8q7-fv2pwas published
                        for@nguniversal/common(npm)Aug 9, 2023",https://github.com/advisories/GHSA-r3hf-q8q7-fv2p,2023
Privilege escalation via ApiTokensEndpoint,2023-08-08 20:46:12+00:00,High,"CVE-2023-39349was published
                        forsentry(pip)Aug 8, 2023",https://github.com/advisories/GHSA-9jcq-jf57-c62c,2023
import-in-the-middle has unsanitized user controlled input in module generation,2023-08-08 19:26:40+00:00,High,"CVE-2023-38704was published
                        forimport-in-the-middle(npm)Aug 8, 2023",https://github.com/advisories/GHSA-5r27-rw8r-7967,2023
Denial of service in jackson-dataformats-text,2023-08-08 18:30:37+00:00,Moderate,"CVE-2023-3894was published
                        forcom.fasterxml.jackson.dataformat:jackson-dataformats-text(Maven)Aug 8, 2023",https://github.com/advisories/GHSA-rg2c-cfxv-qp6f,2023
Several quadratic complexity bugs may lead to denial of service in Commonmarker,2023-08-08 17:12:00+00:00,Moderate,"GHSA-7vh7-fw88-wj87was published
                        forcommonmarker(RubyGems)Aug 8, 2023",https://github.com/advisories/GHSA-7vh7-fw88-wj87,2023
Gitea erroneous repo clones,2023-08-07 15:30:27+00:00,Moderate,"CVE-2022-38795was published
                        forcode.gitea.io/gitea(Go)Aug 7, 2023",https://github.com/advisories/GHSA-8j3v-68w3-3848,2023
Cockpit PHP Remote File Inclusion vulnerability,2023-08-06 18:30:25+00:00,Critical,"CVE-2023-4195was published
                        forcockpit-hq/cockpit(Composer)Aug 6, 2023",https://github.com/advisories/GHSA-xcq3-7pf3-5jvc,2023
Admidio Insufficient Session Expiration vulnerability,2023-08-06 03:30:13+00:00,Moderate,"CVE-2023-4190was published
                        foradmidio/admidio(Composer)Aug 6, 2023",https://github.com/advisories/GHSA-qq8m-9rpx-w2fm,2023
Apache Airflow Execution with Unnecessary Privileges,2023-08-05 09:30:16+00:00,High,"CVE-2023-39508was published
                        forapache-airflow(pip)Aug 5, 2023",https://github.com/advisories/GHSA-269x-pg5c-5xgm,2023
langchain Code Injection vulnerability,2023-08-05 03:30:19+00:00,Critical,"CVE-2023-36095was published
                        forlangchain(pip)Aug 5, 2023",https://github.com/advisories/GHSA-gwqq-6vq7-5j86,2023
OpenRefine Server-Side Request Forgery vulnerability,2023-08-04 18:30:39+00:00,Moderate,"CVE-2022-41401was published
                        fororg.openrefine:main(Maven)Aug 4, 2023",https://github.com/advisories/GHSA-q7mc-fc87-v7w7,2023
Nuclei Path Traversal vulnerability,2023-08-04 17:27:00+00:00,High,"CVE-2023-37896was published
                        forgithub.com/projectdiscovery/nuclei/v2(Go)Aug 4, 2023",https://github.com/advisories/GHSA-2xx4-jj5v-6mff,2023
matrix-appservice-irc IRC command injection via admin commands containing newlines,2023-08-04 17:26:45+00:00,Moderate,"CVE-2023-38690was published
                        formatrix-appservice-irc(npm)Aug 4, 2023",https://github.com/advisories/GHSA-3pmj-jqqp-2mj3,2023
"matrix-appservice-bridge doesn't verify the sub parameter of an openId token exhange, allowing unauthorized access to provisioning APIs",2023-08-04 17:26:32+00:00,Moderate,"CVE-2023-38691was published
                        formatrix-appservice-bridge(npm)Aug 4, 2023",https://github.com/advisories/GHSA-vc7j-h8xg-fv5x,2023
matrix-appservice-irc events can be crafted to leak parts of targeted messages from other bridged rooms,2023-08-04 17:26:07+00:00,Low,"CVE-2023-38700was published
                        formatrix-appservice-irc(npm)Aug 4, 2023",https://github.com/advisories/GHSA-c7hh-3v6c-fj4q,2023
PyroCMS remote code execution vulnerability,2023-08-04 15:30:15+00:00,Critical,"CVE-2023-29689was published
                        forpyrocms/pyrocms(Composer)Aug 4, 2023",https://github.com/advisories/GHSA-w7vm-4v3j-vgpw,2023
Aerospike Java Client vulnerable to unsafe deserialization of server responses,2023-08-03 19:45:39+00:00,Critical,"CVE-2023-36480was published
                        forcom.aerospike:aerospike-client(Maven)Aug 3, 2023",https://github.com/advisories/GHSA-jj95-55cr-9597,2023
Soketi was exposed to Sandbox Escape vulnerability via vm2,2023-08-03 19:44:52+00:00,Critical,"GHSA-g6w6-h933-4rc5was published
                        for@soketi/soketi(npm)Aug 3, 2023",https://github.com/advisories/GHSA-g6w6-h933-4rc5,2023
Sulu Observable Response Discrepancy on Admin Login,2023-08-03 19:44:28+00:00,Moderate,"CVE-2023-39343was published
                        forsulu/sulu(Composer)Aug 3, 2023",https://github.com/advisories/GHSA-wmwf-49vv-p3mr,2023
RDiffWeb vulnerable to Allocation of Resources Without Limits or Throttling,2023-08-03 18:30:35+00:00,Moderate,"CVE-2023-4138was published
                        forrdiffweb(pip)Aug 3, 2023",https://github.com/advisories/GHSA-wwrg-2w5j-grvx,2023
protocol-http1 HTTP Request/Response Smuggling vulnerability,2023-08-03 16:36:34+00:00,Moderate,"CVE-2023-38697was published
                        forprotocol-http1(RubyGems)Aug 3, 2023",https://github.com/advisories/GHSA-6jwc-qr2q-7xwj,2023
odoh-rs's Invalid Slice Split Results in Server Panic,2023-08-03 16:35:20+00:00,Moderate,"CVE-2023-3766was published
                        forodoh-rs(Rust)Aug 3, 2023",https://github.com/advisories/GHSA-gpcv-p28p-fv2p,2023
Cloudflare Wrangler directory traversal vulnerability,2023-08-03 16:34:31+00:00,Moderate,"CVE-2023-3348was published
                        forwrangler(npm)Aug 3, 2023",https://github.com/advisories/GHSA-8c93-4hch-xgxp,2023
Pimcore Path Traversal Vulnerability in AssetController:importServerFilesAction,2023-08-03 16:33:32+00:00,Moderate,"CVE-2023-38708was published
                        forpimcore/pimcore(Composer)Aug 3, 2023",https://github.com/advisories/GHSA-34hj-v8fm-x887,2023
pimcore/customer-management-framework-bundle Cross-site Scripting vulnerability in Segment name,2023-08-03 16:32:49+00:00,Moderate,"CVE-2023-4145was published
                        forpimcore/customer-management-framework-bundle(Composer)Aug 3, 2023",https://github.com/advisories/GHSA-735f-w79p-282x,2023
Cargo not respecting umask when extracting crate archives,2023-08-03 16:30:52+00:00,High,"CVE-2023-38497was published
                        forcargo(Rust)Aug 3, 2023",https://github.com/advisories/GHSA-j3xp-wfr4-hx87,2023
Answer has Race Condition within a Thread,2023-08-03 06:30:23+00:00,Moderate,"CVE-2023-4127was published
                        forgithub.com/answerdev/answer(Go)Aug 3, 2023",https://github.com/advisories/GHSA-52h8-c876-989c,2023
Answer Insufficient Session Expiration vulnerability,2023-08-03 06:30:22+00:00,Moderate,"CVE-2023-4126was published
                        forgithub.com/answerdev/answer(Go)Aug 3, 2023",https://github.com/advisories/GHSA-ggcf-hwxp-rc77,2023
Answer has Weak Password Requirements,2023-08-03 06:30:22+00:00,High,"CVE-2023-4125was published
                        forgithub.com/answerdev/answer(Go)Aug 3, 2023",https://github.com/advisories/GHSA-j63x-f657-2m9g,2023
Answer Missing Authorization vulnerability,2023-08-03 06:30:22+00:00,High,"CVE-2023-4124was published
                        forgithub.com/answerdev/answer(Go)Aug 3, 2023",https://github.com/advisories/GHSA-v9vc-7x69-c2x8,2023
pyca/cryptography's wheels include vulnerable OpenSSL,2023-08-01 22:34:41+00:00,Low,"GHSA-jm77-qphf-c4w8was published
                        forcryptography(pip)Aug 1, 2023",https://github.com/advisories/GHSA-jm77-qphf-c4w8,2023
Keylime's registrar vulnerable to Denial-of-service attack via a single open connection,2023-08-01 20:16:29+00:00,High,"CVE-2023-38200was published
                        forkeylime(pip)Aug 1, 2023",https://github.com/advisories/GHSA-pg75-v6fp-8q59,2023
MindsDB can be made to not verify SSL certificates,2023-08-01 19:55:14+00:00,Critical,"CVE-2023-38699was published
                        forMindsDB(pip)Aug 1, 2023",https://github.com/advisories/GHSA-8hx6-qv6f-xgcw,2023
Jettison parser crash by stackoverflow,2023-08-01 19:53:16+00:00,Moderate,"GHSA-xqcq-j8w9-3pxvwas published
                        forcom.tencyle.fixes:org.codehaus.jettison--jettison(Maven)Aug 1, 2023",https://github.com/advisories/GHSA-xqcq-j8w9-3pxv,2023
.eth registrar controller can shorten the duration of registered names,2023-08-01 19:48:31+00:00,Moderate,"CVE-2023-38698was published
                        for@ensdomains/ens-contracts(npm)Aug 1, 2023",https://github.com/advisories/GHSA-rrxv-q8m4-wch3,2023
pnpm incorrectly parses tar archives relative to specification,2023-08-01 17:00:55+00:00,High,"CVE-2023-37478was published
                        for@pnpm/cafs(npm)Aug 1, 2023",https://github.com/advisories/GHSA-5r98-f33j-g8h7,2023
@simonsmith/cypress-image-snapshothas fix for insecure snapshot file names,2023-08-01 16:59:40+00:00,Moderate,"CVE-2023-38695was published
                        for@simonsmith/cypress-image-snapshot(npm)Aug 1, 2023",https://github.com/advisories/GHSA-vxjg-hchx-cc4g,2023
RaspAP Command Injection vulnerability,2023-08-01 15:30:30+00:00,Critical,"CVE-2022-39986was published
                        forbillz/raspap-webgui(Composer)Aug 1, 2023",https://github.com/advisories/GHSA-7c28-wg7r-pg6f,2023
underscore-keypath vulnerable to Prototype Pollution,2023-08-01 06:30:15+00:00,High,"CVE-2023-26139was published
                        forunderscore-keypath(npm)Aug 1, 2023",https://github.com/advisories/GHSA-gpvc-mx6g-cchv,2023
mlflow vulnerable to OS Command Injection,2023-08-01 03:31:17+00:00,High,"CVE-2023-4033was published
                        formlflow(pip)Aug 1, 2023",https://github.com/advisories/GHSA-ffw3-6378-cqgp,2023
HashiCorp Vault and Vault Enterprise vulnerable to user enumeration,2023-08-01 00:30:17+00:00,Moderate,"CVE-2023-3462was published
                        forgithub.com/hashicorp/vault(Go)Aug 1, 2023",https://github.com/advisories/GHSA-9v3w-w2jh-4hff,2023
Sydent does not verify email server certificates,2023-07-31 22:03:44+00:00,Critical,"CVE-2023-38686was published
                        formatrix-sydent(pip)Jul 31, 2023",https://github.com/advisories/GHSA-p6hw-wm59-3g5g,2023
twitch-tui's connection is not encrypted,2023-07-31 22:02:54+00:00,High,"CVE-2023-38688was published
                        fortwitch-tui(Rust)Jul 31, 2023",https://github.com/advisories/GHSA-779w-xvpm-78jx,2023
Silverstripe has Cross-site Scripting (XSS) vulnerabilities inherited from TinyMCE,2023-07-31 22:02:35+00:00,Moderate,"GHSA-4q66-g4mm-8rg5was published
                        forsilverstripe/admin(Composer)Jul 31, 2023",https://github.com/advisories/GHSA-4q66-g4mm-8rg5,2023
Silverstripe Framework: Members with no password can be created and bypass custom login forms,2023-07-31 22:00:58+00:00,Low,"CVE-2023-32302was published
                        forsilverstripe/framework(Composer)Jul 31, 2023",https://github.com/advisories/GHSA-36xx-7vf6-7mv3,2023
phpMyFAQ Improper Neutralization of Formula Elements in a CSV File vulnerability,2023-07-31 03:30:23+00:00,High,"CVE-2023-4006was published
                        forthorsten/phpmyfaq(Composer)Jul 31, 2023",https://github.com/advisories/GHSA-2xvx-368h-qcmv,2023
phpMyFAQ Stored Cross-site Scripting vulnerability,2023-07-31 03:30:23+00:00,High,"CVE-2023-4007was published
                        forthorsten/phpmyfaq(Composer)Jul 31, 2023",https://github.com/advisories/GHSA-q9vm-29ph-p7mp,2023
Apache NiFi Code Injection vulnerability,2023-07-29 09:30:15+00:00,High,"CVE-2023-36542was published
                        fororg.apache.nifi:nifi-cdc-mysql-bundle(Maven)Jul 29, 2023",https://github.com/advisories/GHSA-r969-8v3h-23v9,2023
Denial of service from large image,2023-07-28 15:36:08+00:00,Low,"CVE-2023-37900was published
                        forgithub.com/crossplane/crossplane(Go)Jul 28, 2023",https://github.com/advisories/GHSA-68p4-95xf-7gx8,2023
Field injection in the KirbyData text storage handler,2023-07-28 15:35:47+00:00,High,"CVE-2023-38488was published
                        forgetkirby/cms(Composer)Jul 28, 2023",https://github.com/advisories/GHSA-x5mr-p6v4-wp93,2023
Insufficient Session Expiration after a password change,2023-07-28 15:35:25+00:00,High,"CVE-2023-38489was published
                        forgetkirby/cms(Composer)Jul 28, 2023",https://github.com/advisories/GHSA-5mvj-rvp8-rf45,2023
XML External Entity (XXE) vulnerability in the XML data handler,2023-07-28 15:35:04+00:00,Moderate,"CVE-2023-38490was published
                        forgetkirby/cms(Composer)Jul 28, 2023",https://github.com/advisories/GHSA-q386-w6fg-gmgp,2023
Cross-site scripting (XSS) from MIME type auto-detection of uploaded files,2023-07-28 15:34:36+00:00,Moderate,"CVE-2023-38491was published
                        forgetkirby/cms(Composer)Jul 28, 2023",https://github.com/advisories/GHSA-8fv7-wq38-f5c9,2023
Denial of service from unlimited password lengths,2023-07-28 15:34:13+00:00,Moderate,"CVE-2023-38492was published
                        forgetkirby/cms(Composer)Jul 28, 2023",https://github.com/advisories/GHSA-3v6j-v3qc-cxff,2023
Possible image tampering from missing image validation for Packages,2023-07-28 15:33:38+00:00,High,"CVE-2023-38495was published
                        forgithub.com/crossplane/crossplane(Go)Jul 28, 2023",https://github.com/advisories/GHSA-pj4x-2xr5-w87m,2023
Anyone with a share link can RESET all website data in Umami,2023-07-28 15:33:14+00:00,Critical,"GHSA-8www-cffh-4q98was published
                        forumami(npm)Jul 28, 2023",https://github.com/advisories/GHSA-8www-cffh-4q98,2023
Code injection in PowerJob,2023-07-28 15:30:23+00:00,Critical,"CVE-2023-37754was published
                        fortech.powerjob:powerjob-common(Maven)Jul 28, 2023",https://github.com/advisories/GHSA-2h26-qfxm-r3pq,2023
Code injection in webmagic-core,2023-07-28 15:30:23+00:00,Critical,"CVE-2023-39015was published
                        forus.codecraft:webmagic-core(Maven)Jul 28, 2023",https://github.com/advisories/GHSA-grvq-vjqr-x8vm,2023
Code injection in oscore,2023-07-28 15:30:23+00:00,Critical,"CVE-2023-39022was published
                        foropensymphony:oscore(Maven)Jul 28, 2023",https://github.com/advisories/GHSA-859m-2pfx-fwhf,2023
Code injection in Duke,2023-07-28 15:30:23+00:00,Critical,"CVE-2023-39013was published
                        forno.priv.garshol.duke:duke(Maven)Jul 28, 2023",https://github.com/advisories/GHSA-p83q-99rc-vfmv,2023
Code injection in stanford-parser,2023-07-28 15:30:23+00:00,Critical,"CVE-2023-39020was published
                        foredu.stanford.nlp:stanford-parser(Maven)Jul 28, 2023",https://github.com/advisories/GHSA-353m-jh2m-72v4,2023
